"AnalCode","n"
"",6019
"14808-79-8",3610
"14859-67-7",2
"14859-67-7MDC",2
"14859-67-7PREC",1
"16887-00-6",3364
"16984-48-8",3377
"18496-25-8",1
"2023695",337
"471-34-1",7499
"71-52-3",4137
"7429-90-5",3368
"7439-89-6",667
"7439-92-1",1023
"7439-93-2",1
"7439-95-4",3431
"7439-96-5",3378
"7439-97-6",266
"7439-98-7",360
"7440-02-0",19
"7440-21-3",2
"7440-22-4",7
"7440-23-5",3665
"7440-28-0",169
"7440-31-5",1
"7440-32-6",2
"7440-36-0",152
"7440-38-2",1319
"7440-39-3",152
"7440-41-7",138
"7440-42-8",5
"7440-43-9",784
"7440-47-3",185
"7440-48-4",2
"7440-50-8",857
"7440-61-1",431
"7440-62-2",1
"7440-66-6",3364
"7440-70-2",3433
"7704-34-9",1
"7723-14-0",7
"7727-37-9",5397
"7782-49-2",1119
"9/7/7440",3029
"ALKC",4434
"ALKLNTY",695
"ECOLI",4955
"FEBACT",5
"PH",4767
"SAR",3189
"SC",4593
"SPGRAV",1
"TANN_LIGN",1
"TCOLIFORM",4955
"TDS",3601
"pHTemp",206
