"AnalysisCost","n"
0,47
10,29
12,4
20,477
24,3
25,1
30,59
35,838
37.5,18
40,41
45,146
47.5,2
50,144
53,1
55,86
57,7
57.5,19
60,8
65,18
67.5,4
69,4
70,24
72.5,27
75,1744
77.5,5
80,15
81,1
82.5,2
84,2
85,228
87,6
87.5,6
89,1
90,5
91,1
92.5,5
94,2
95,319
97,1
97.5,2
99,10
100,5
102.5,2
105,84
107.5,5
110,9
110.5,4
111,2
112,4
112.5,252
115,36
117,1
117.5,2
121,1
122.5,27
123,3
125,192
127.5,2
130,2
130.5,1
132.5,119
134,2
135,14
137,42
140,1
142.5,21
145,13
147,2
148,2
149,41
150,34
152.5,16
155,10
160,2
161,17
162,9
162.5,13
165,6
167.5,4
170,1
172.5,4
173,10
174,10
175,5
177.5,1
180,1
182.5,49
184,1
185,2
186,3
187.5,2
190,3
192.5,1
193,1
194,1
195,12
197,4
197.5,2
198,4
200,1
201,1
202.5,17
205,3
207,1
207.5,1
209,1
210,2
212.5,3
215,2
221,1
222.5,1
225,3
230,1
234,1
236,1
237.5,1
242.5,1
250,1
252.5,3
262.5,1
265,1
269,4
270,1
272.5,1
275,1
281,4
282,3
282.5,3
294,5
299,1
322,1
342,1
387,1
NA,10
