"LivestockNumber","n"
0,2340
1,36
2,152
3,103
4,75
5,49
6,31
7,16
8,15
9,6
10,58
11,7
12,9
13,4
14,8
15,19
16,6
18,2
19,1
20,58
21,2
22,1
23,4
24,2
25,40
26,3
27,3
28,3
30,50
31,1
32,1
33,1
35,7
36,1
40,26
43,1
45,2
46,1
50,85
55,1
60,16
63,1
65,5
70,13
75,9
80,15
88,1
90,4
100,74
103,1
110,3
115,1
120,3
125,3
126,1
135,1
136,1
140,1
150,32
160,4
165,2
170,9
175,2
180,2
190,1
200,58
220,2
225,2
230,7
250,30
255,1
260,1
300,46
350,4
360,1
380,3
400,26
450,8
500,34
525,1
550,1
570,3
600,19
620,1
650,1
700,10
750,5
800,12
850,2
900,1
1000,25
1100,1
1200,7
1250,1
1600,2
2275,1
3500,1
5000,2
7000,1
NA,1810
